Date	DJ	Intel	JPM	AMX
"May 1, 2013"	0.017920862	0.099215505	-0.029381759	0.012310887
"Apr 1, 2013"	0.037287016	0.042328042	0.032659081	0.090232859
"Mar 1, 2013"	0.013990035	-0.018876829	-0.029844644	0.042305748
"Feb 1, 2013"	0.057712354	0.001891253	0.039744952	0.017143837
"Jan 2, 2013"	0.005877463	0.0638833	0.07004776	0.039935817
"Dec 3, 2012"	-0.005455299	-0.086397059	0.070350536	-0.001068566
"Nov 1, 2012"	-0.025188165	-0.043516484	-0.014395393	-0.018013291
"Oct 1, 2012"	0.026390623	-0.091090691	0.029644269	-0.01937918
"Sep 4, 2012"	0.006510105	-0.030971738	0.089929995	0.013734353
"Aug 1, 2012"	0.009919478	-0.025650698	0.031666667	-0.016920185
"Jul 2, 2012"	0.039393749	0.043700787	0.007556675	0.071219334
"Jun 1, 2012"	-0.062251403	-0.107832806	0.077828054	-0.088907423
"May 1, 2012"	0.000211939	0.015335235	-0.228711028	0.035405872
"Apr 2, 2012"	0.020001868	0.036215817	-0.065245759	0.09183481
"Mar 1, 2012"	0.02529376	0.011967091	0.171763507	0.052809212
"Feb 1, 2012"	0.033676753	0.086108855	0.052010724	0.042857143
"Jan 3, 2012"	0.01452573	-0.010052272	0.121804511	0.012578616
"Dec 1, 2011"	0.007921998	0.03152219	0.073619632	-0.037918516
"Nov 1, 2011"	0.095254809	0.138338055	-0.109033372	0.113656783
"Oct 3, 2011"	-0.060379048	0.044378698	0.154050465	-0.103142627
"Sep 1, 2011"	-0.043717917	-0.101462118	-0.198083067	-0.016835017
"Aug 1, 2011"	-0.021758708	0.016208915	-0.07144623	-0.023215322
"Jul 1, 2011"	-0.012337095	-0.010690423	-0.011968735	0.007405964
"Jun 1, 2011"	-0.018793676	-0.024761077	-0.053191489	0.039295118
"May 2, 2011"	0.039699635	0.129538763	-0.052377822	0.080306346
"Apr 1, 2011"	0.007731573	-0.056918093	-0.010195228	0.04576659
"Mar 1, 2011"	0.028084087	0.005583993	-0.012636539	0.003674782
"Feb 1, 2011"	0.027214157	0.022846264	0.03894081	0.005542725
"Jan 3, 2011"	0.051802315	-0.020969245	0.059405941	-0.012317518
"Dec 1, 2010"	-0.010167891	0.054545455	0.134224599	0.056640154
"Nov 1, 2010"	0.030638422	0.04519774	-0.006112145	-0.020769412
"Oct 1, 2010"	0.077247327	0.085284281	-0.011297951	0.044882861
"Sep 1, 2010"	-0.043253203	-0.141626794	0.046754675	-0.099089091
"Aug 2, 2010"	0.071168606	0.075656202	-0.097318769	0.138053097
"Jul 1, 2010"	-0.035590303	-0.087793427	0.100245834	0.009443594
"Jun 1, 2010"	-0.079536041	-0.07310705	-0.075037898	-0.152131573
"May 3, 2010"	0.014026495	0.025892857	-0.070455613	0.108685221
"Apr 1, 2010"	0.05144343	0.083172147	-0.04849162	0.091099476
"Mar 1, 2010"	0.025534835	0.062146893	0.066237789	0.009513742
"Feb 1, 2010"	-0.034676517	-0.063492063	0.077812018	-0.07277628
"Jan 4, 2010"	0.008398251	0.068345324	-0.065514759	-0.033167496
"Dec 1, 2009"	0.065041345	0.02152231	-0.019298659	0.207725322
"Nov 2, 2009"	5.45739E-05	-0.02257568	0.017237252	0.032496307
"Oct 1, 2009"	0.02310078	-0.036102868	-0.046782291	0.0080405
"Sep 1, 2009"	0.034737536	0.03798768	0.008283479	0.161937716
"Aug 3, 2009"	0.085956487	0.168566287	0.124450194	0.230310771
"Jul 1, 2009"	-0.006351798	0.03992514	0.133098798	-0.080626223
"Jun 1, 2009"	0.04090893	0.01713198	-0.075609756	0.024458701
"May 1, 2009"	0.073793112	0.067027759	0.118181818	0.869565217
"Apr 1, 2009"	0.077892944	0.180655476	0.241534989	0.142123288
"Mar 2, 2009"	-0.118008354	-0.024180967	0.163238512	-0.285626911
"Feb 2, 2009"	-0.087962609	-0.127297481	-0.104272834	-0.119547658
"Jan 2, 2009"	-0.006190176	0.091381872	-0.190929274	-0.17061188
"Dec 1, 2008"	-0.053522181	-0.165530068	-0.004106128	-0.18015379
"Nov 3, 2008"	-0.14025112	-0.128108108	-0.232484848	-0.217702664
"Oct 1, 2008"	-0.060475695	-0.204984959	-0.116702355	-0.143312883
"Sep 2, 2008"	0.014564288	0.037912578	0.213302156	0.096019365
