Code,DJINDUS
01/01/2007,12463.15
02/01/2007,12463.15
03/01/2007,12474.52
04/01/2007,12480.69
05/01/2007,12398.01
08/01/2007,12423.49
09/01/2007,12416.6
10/01/2007,12442.16
11/01/2007,12514.98
12/01/2007,12556.08
15/01/2007,12556.08
16/01/2007,12582.59
17/01/2007,12577.15
18/01/2007,12567.93
19/01/2007,12565.53
22/01/2007,12477.16
23/01/2007,12533.8
24/01/2007,12621.77
25/01/2007,12502.56
26/01/2007,12487.02
29/01/2007,12490.78
30/01/2007,12523.31
31/01/2007,12621.69
01/02/2007,12673.68
02/02/2007,12653.49
05/02/2007,12661.74
06/02/2007,12666.31
07/02/2007,12666.87
08/02/2007,12637.63
09/02/2007,12580.83
12/02/2007,12552.55
13/02/2007,12654.85
14/02/2007,12741.86
15/02/2007,12765.01
16/02/2007,12767.57
19/02/2007,12767.57
20/02/2007,12786.64
21/02/2007,12738.41
22/02/2007,12686.02
23/02/2007,12647.48
26/02/2007,12632.26
27/02/2007,12216.24
28/02/2007,12268.63
01/03/2007,12234.34
02/03/2007,12114.1
05/03/2007,12050.41
06/03/2007,12207.59
07/03/2007,12192.45
08/03/2007,12260.7
09/03/2007,12276.32
12/03/2007,12318.62
13/03/2007,12075.96
14/03/2007,12133.4
15/03/2007,12159.68
16/03/2007,12110.41
19/03/2007,12226.17
20/03/2007,12288.1
21/03/2007,12447.52
22/03/2007,12461.14
23/03/2007,12481.01
26/03/2007,12469.07
27/03/2007,12397.29
28/03/2007,12300.36
29/03/2007,12348.75
30/03/2007,12354.35
02/04/2007,12382.3
03/04/2007,12510.3
04/04/2007,12530.05
05/04/2007,12560.2
06/04/2007,12560.2
09/04/2007,12569.14
10/04/2007,12573.85
11/04/2007,12484.62
12/04/2007,12552.96
13/04/2007,12612.13
16/04/2007,12720.46
17/04/2007,12773.04
18/04/2007,12803.84
19/04/2007,12808.63
20/04/2007,12961.98
23/04/2007,12919.4
24/04/2007,12953.94
25/04/2007,13089.89
26/04/2007,13105.5
27/04/2007,13120.94
30/04/2007,13062.91
01/05/2007,13136.14
02/05/2007,13211.88
03/05/2007,13241.38
04/05/2007,13264.62
07/05/2007,13312.97
08/05/2007,13309.07
09/05/2007,13362.87
10/05/2007,13215.13
11/05/2007,13326.22
14/05/2007,13346.78
15/05/2007,13383.84
16/05/2007,13487.53
17/05/2007,13476.73
18/05/2007,13556.53
21/05/2007,13542.88
22/05/2007,13539.95
23/05/2007,13525.65
24/05/2007,13441.13
25/05/2007,13507.28
28/05/2007,13507.28
