10Y,7Y,5Y,3Y,2Y,1Y
4.07,3.62,3.05,2.22,1.8,1.42
4.05,3.6,3.03,2.2,1.79,1.41
4.09,3.64,3.1,2.26,1.84,1.44
4.04,3.6,3.04,2.19,1.77,1.4
4,3.56,3.01,2.14,1.71,1.36
4.19,3.77,3.23,2.33,1.87,1.44
4.16,3.74,3.2,2.26,1.79,1.39
4.15,3.72,3.17,2.27,1.81,1.41
4.1,3.66,3.1,2.21,1.76,1.4
4.1,3.65,3.1,2.21,1.75,1.37
4.1,3.65,3.11,2.21,1.75,1.37
4.05,3.6,3.05,2.15,1.7,1.34
NA,NA,NA,NA,NA,NA
4.01,3.55,3,2.11,1.67,1.33
3.95,3.49,2.94,2.09,1.66,1.31
3.98,3.52,2.97,2.12,1.69,1.33
3.94,3.48,2.93,2.08,1.66,1.31
3.98,3.53,2.97,2.13,1.7,1.31
4,3.54,2.99,2.13,1.7,1.34
4.06,3.61,3.07,2.21,1.77,1.36
4,3.56,3.02,2.15,1.7,1.3
4,3.55,3.02,2.16,1.72,1.31
4.01,3.58,3.05,2.17,1.72,1.34
3.96,3.53,2.99,2.12,1.68,1.33
4.02,3.6,3.07,2.18,1.73,1.34
3.97,3.55,3.02,2.13,1.68,1.32
3.96,3.51,2.97,2.08,1.63,1.28
3.99,3.57,3.03,2.13,1.68,1.33
3.98,3.55,3,2.1,1.65,1.3
3.93,3.48,2.92,2.05,1.62,1.29
3.89,3.42,2.85,1.99,1.57,1.27
3.95,3.48,2.91,2.05,1.62,1.3
NA,NA,NA,NA,NA,NA
3.94,3.48,2.92,2.08,1.66,1.31
3.88,3.41,2.87,2.03,1.61,1.29
3.85,3.38,2.82,2,1.59,1.29
3.9,3.42,2.86,2.04,1.63,1.31
3.86,3.38,2.82,2,1.6,1.28
3.81,3.34,2.77,1.98,1.58,1.27
3.78,3.3,2.75,1.96,1.57,1.27
3.76,3.29,2.75,1.96,1.58,1.27
3.71,3.24,2.69,1.91,1.53,1.24
3.68,3.21,2.66,1.89,1.52,1.26
3.65,3.17,2.62,1.85,1.49,1.24
3.63,3.14,2.58,1.82,1.46,1.22
3.67,3.18,2.63,1.85,1.47,1.22
3.63,3.14,2.56,1.77,1.39,1.15
3.59,3.08,2.51,1.73,1.35,1.09
3.6,3.11,2.54,1.76,1.38,1.12
3.6,3.13,2.57,1.82,1.45,1.14
3.74,3.31,2.75,1.98,1.59,1.24
3.72,3.27,2.72,1.95,1.56,1.22
3.82,3.37,2.82,2.03,1.63,1.24
3.91,3.46,2.93,2.12,1.72,1.35
3.98,3.53,2.98,2.14,1.72,1.32
4.01,3.56,3.02,2.18,1.75,1.34
4.11,3.67,3.12,2.25,1.8,1.36
3.98,3.55,2.98,2.14,1.71,1.32
3.97,3.54,2.97,2.12,1.69,1.28
3.96,3.52,2.94,2.11,1.68,1.27
3.95,3.5,2.92,2.05,1.62,1.25
3.92,3.45,2.86,1.99,1.56,1.22
3.83,3.35,2.78,1.93,1.51,1.19
3.84,3.35,2.78,1.92,1.5,1.16
3.94,3.48,2.89,2.03,1.6,1.22
3.93,3.45,2.87,1.99,1.55,1.18
3.96,3.48,2.88,2,1.55,1.18
4.03,3.55,2.99,2.1,1.65,1.25
3.95,3.47,2.91,2.03,1.59,1.21
3.93,3.44,2.87,1.99,1.55,1.22
3.95,3.46,2.89,2.03,1.6,1.25
4,3.49,2.95,2.09,1.65,1.3
4.04,3.55,3.02,2.17,1.74,1.33
3.98,3.49,2.96,2.12,1.69,1.32
3.96,3.48,2.95,2.1,1.67,1.31
3.98,3.5,2.99,2.15,1.71,1.34
NA,NA,NA,NA,NA,NA
4,3.54,3.03,2.16,1.71,1.35
4.01,3.53,3.01,2.14,1.7,1.34
4.02,3.54,3.02,2.14,1.7,1.33
3.93,3.45,2.92,2.05,1.62,1.28
3.91,3.42,2.88,2,1.57,1.26
3.92,3.43,2.9,2.02,1.59,1.28
3.96,3.47,2.94,2.06,1.62,1.28
3.89,3.39,2.85,1.95,1.51,1.22
3.88,3.37,2.82,1.93,1.5,1.21
3.94,3.45,2.9,2,1.56,1.27
3.92,3.41,2.87,1.98,1.55,1.27
3.84,3.31,2.76,1.87,1.45,1.19
3.72,3.19,2.64,1.83,1.45,1.21
